away_final_score,away_team,g_id,home_final_score,home_team
3,tba,201500317.0,2,nya
1,tor,201500318.0,4,bos
13,was,201500319.0,4,atl
6,ana,201500320.0,5,oak
2,cha,201500321.0,12,min
5,cin,201500322.0,1,atl
1,det,201500323.0,8,kca
3,phi,201500324.0,9,sln
2,sea,201500325.0,3,hou
5,tor,201500326.0,1,cle
8,was,201500327.0,2,nyn
2,ana,201500328.0,3,sfn
0,ari,201500329.0,8,lan
0,cha,201500330.0,1,min
3,cin,201500331.0,4,atl
3,col,201500332.0,14,sdn
1,det,201500333.0,4,kca
0,mil,201500334.0,1,chn
3,nya,201500335.0,2,bos
7,oak,201500336.0,5,tex
3,phi,201500337.0,4,mia
1,pit,201500338.0,2,sln
3,sea,201500339.0,4,hou
2,tba,201500340.0,0,bal
4,tor,201500341.0,9,cle
0,was,201500342.0,4,nyn
4,ana,201500343.0,5,sfn
4,ari,201500344.0,6,lan
3,cha,201500345.0,5,min
8,cin,201500346.0,4,atl
2,col,201500347.0,4,sdn
2,det,201500348.0,1,kca
6,mil,201500349.0,1,chn
4,nya,201500350.0,2,bos
7,oak,201500351.0,8,tex
0,phi,201500352.0,7,mia
1,pit,201500353.0,2,sln
4,sea,201500354.0,11,hou
0,tba,201500355.0,4,bal
11,tor,201500356.0,4,cle
1,was,201500357.0,0,nyn
0,ana,201500358.0,5,sfn
0,ari,201500359.0,1,lan
3,cha,201500360.0,13,min
0,cin,201500361.0,5,atl
6,col,201500362.0,8,sdn
6,det,201500363.0,4,kca
5,mil,201500364.0,3,chn
8,nya,201500365.0,5,bos
7,oak,201500366.0,1,tex
6,phi,201500367.0,2,mia
2,pit,201500368.0,3,sln
6,sea,201500369.0,7,hou
2,tba,201500370.0,4,bal
7,tor,201500371.0,10,cle
1,was,201500372.0,0,nyn
9,chn,201500373.0,10,sln
3,lan,201500374.0,4,mil
4,mia,201500375.0,6,was
1,nya,201500376.0,3,tor
7,oak,201500377.0,8,min
5,phi,201500378.0,2,atl
0,sdn,201500379.0,2,sfn
3,sea,201500380.0,2,ana
5,tba,201500381.0,1,bos
2,tex,201500382.0,1,hou
2,bal,201500383.0,3,nyn
4,chn,201500384.0,7,sln
7,cin,201500385.0,1,pit
3,cle,201500386.0,5,kca
2,det,201500387.0,5,cha
8,lan,201500388.0,2,mil
2,mia,201500389.0,1,was
6,nya,201500390.0,3,tor
2,oak,201500391.0,1,min
0,phi,201500392.0,9,atl
0,sdn,201500393.0,6,sfn
4,sea,201500394.0,5,ana
0,tba,201500395.0,2,bos
7,tex,201500396.0,1,hou
13,ari,201500397.0,7,col
5,ari,201500398.0,1,col
1,bal,201500399.0,5,nyn
6,chn,201500400.0,5,sln
3,cin,201500401.0,0,pit
10,cle,201500402.0,3,kca
6,det,201500403.0,7,cha
3,lan,201500404.0,6,mil
5,mia,201500405.0,7,was
1,nya,201500406.0,5,tor
0,oak,201500407.0,13,min
5,phi,201500408.0,7,atl
9,sdn,201500409.0,1,sfn
3,sea,201500410.0,4,ana
5,tba,201500411.0,3,bos
11,tex,201500412.0,3,hou
3,bal,201500413.0,4,nya
1,chn,201500414.0,5,sln
2,cin,201500415.0,7,pit
4,cle,201500416.0,7,kca
4,det,201500417.0,1,cha
3,hou,201500418.0,2,ana
14,lan,201500419.0,4,mil
7,mia,201500420.0,2,sfn
5,oak,201500421.0,6,min
0,sdn,201500422.0,11,ari
5,tex,201500423.0,4,tba
2,atl,201500424.0,9,was
4,bal,201500425.0,5,nya
0,bos,201500426.0,7,tor
7,chn,201500427.0,6,mil
0,hou,201500428.0,2,ana
5,kca,201500429.0,6,det
2,lan,201500430.0,1,col
0,mia,201500431.0,6,sfn
9,min,201500432.0,3,cle
1,nyn,201500433.0,3,phi
3,oak,201500434.0,4,sea
6,sdn,201500435.0,5,ari
8,sln,201500436.0,5,pit
2,tex,201500437.0,8,tba
6,atl,201500438.0,8,was
6,bal,201500439.0,2,nya
1,bos,201500440.0,7,tor
4,chn,201500441.0,12,mil
10,cin,201500442.0,4,cha
2,cin,201500443.0,8,cha
6,hou,201500444.0,5,ana
6,kca,201500445.0,2,det
6,mia,201500446.0,2,sfn
7,min,201500447.0,4,cle
3,nyn,201500448.0,2,phi
2,oak,201500449.0,7,sea
6,sdn,201500450.0,4,ari
5,sln,201500451.0,7,pit
2,tex,201500452.0,7,tba
4,atl,201500453.0,5,was
2,bal,201500454.0,6,nya
6,bos,201500455.0,3,tor
2,chn,201500456.0,3,mil
3,cin,201500457.0,4,cha
1,hou,201500458.0,3,ana
2,kca,201500459.0,1,det
9,lan,201500460.0,5,col
2,mia,201500461.0,3,sfn
2,min,201500462.0,8,cle
7,nyn,201500463.0,4,phi
3,oak,201500464.0,4,sea
1,sdn,201500465.0,2,ari
3,sln,201500466.0,4,pit
2,tex,201500467.0,1,tba
2,atl,201500468.0,1,cin
5,bos,201500469.0,4,oak
7,cha,201500470.0,10,mil
2,kca,201500471.0,8,tex
3,mia,201500472.0,5,lan
11,nya,201500473.0,5,tba
3,nyn,201500474.0,4,chn
4,pit,201500475.0,3,phi
2,tor,201500476.0,5,bal
11,was,201500477.0,1,ari
3,atl,201500478.0,4,cin
2,bos,201500479.0,9,oak
4,cha,201500480.0,2,mil
2,col,201500481.0,5,ana
7,kca,201500482.0,6,tex
1,mia,201500483.0,11,lan
1,min,201500484.0,2,det
2,nya,201500485.0,4,tba
1,nyn,201500486.0,6,chn
7,pit,201500487.0,2,phi
4,sdn,201500488.0,11,sea
8,sfn,201500489.0,1,hou
8,sln,201500490.0,3,cle
10,tor,201500491.0,2,bal
6,was,201500492.0,14,ari
1,atl,201500493.0,5,cin
2,bos,201500494.0,0,oak
4,cha,201500495.0,2,mil
1,col,201500496.0,2,ana
2,kca,201500497.0,5,tex
5,mia,201500498.0,4,lan
6,min,201500499.0,2,det
2,nya,201500500.0,3,tba
1,nyn,201500501.0,2,chn
2,pit,201500502.0,3,phi
4,sdn,201500503.0,2,sea
3,sfn,201500504.0,4,hou
0,sln,201500505.0,2,cle
1,tor,201500506.0,6,bal
9,was,201500507.0,6,ari
2,bos,201500508.0,1,sea
5,col,201500509.0,4,lan
6,kca,201500510.0,3,tex
1,min,201500511.0,13,det
1,nya,201500512.0,6,tba
5,nyn,201500513.0,6,chn
2,pit,201500514.0,4,phi
3,sfn,201500515.0,4,cin
2,sln,201500516.0,1,cle
4,tor,201500517.0,6,hou
3,was,201500518.0,8,sdn
3,ana,201500519.0,1,bal
3,ari,201500520.0,4,phi
5,atl,201500521.0,3,mia
1,bos,201500522.0,2,sea
7,cha,201500523.0,6,oak
8,cle,201500524.0,3,tex
4,col,201500525.0,6,lan
10,det,201500526.0,4,sln
7,mil,201500527.0,0,nyn
1,nya,201500528.0,12,kca
10,pit,201500529.0,11,chn
10,sfn,201500530.0,2,cin
2,tba,201500531.0,3,min
4,tor,201500532.0,8,hou
10,was,201500533.0,0,sdn
6,ana,201500534.0,1,bal
5,ari,201500535.0,7,phi
5,atl,201500536.0,3,mia
4,bos,201500537.0,2,sea
4,cha,201500538.0,3,oak
10,cle,201500539.0,8,tex
7,col,201500540.0,1,lan
4,det,201500541.0,3,sln
1,mil,201500542.0,14,nyn
5,nya,201500543.0,1,kca
1,pit,201500544.0,4,chn
11,sfn,201500545.0,2,cin
4,tba,201500546.0,6,min
5,tor,201500547.0,6,hou
4,was,201500548.0,1,sdn
0,ana,201500549.0,3,bal
0,ari,201500550.0,6,phi
6,atl,201500551.0,0,mia
0,bos,201500552.0,5,sea
7,cha,201500553.0,3,oak
1,cle,201500554.0,5,tex
0,col,201500555.0,1,lan
1,det,201500556.0,2,sln
1,mil,201500557.0,5,nyn
0,nya,201500558.0,6,kca
3,pit,201500559.0,0,chn
9,sfn,201500560.0,8,cin
11,tba,201500561.0,3,min
2,tor,201500562.0,4,hou
10,was,201500563.0,5,sdn
6,ana,201500564.0,10,tor
3,ari,201500565.0,2,mia
1,cle,201500566.0,2,cha
3,mil,201500567.0,2,det
2,oak,201500568.0,1,hou
4,phi,201500569.0,3,col
1,sln,201500570.0,2,nyn
3,ana,201500571.0,2,tor
4,ari,201500572.0,2,mia
3,chn,201500573.0,4,sdn
0,cin,201500574.0,3,kca
3,cle,201500575.0,1,cha
0,lan,201500576.0,2,sfn
8,mil,201500577.0,1,det
8,min,201500578.0,5,pit
6,nya,201500579.0,8,was
4,oak,201500580.0,6,hou
5,phi,201500581.0,6,col
4,sea,201500582.0,9,bal
10,sln,201500583.0,2,nyn
5,tba,201500584.0,3,atl
3,tex,201500585.0,4,bos
4,ana,201500586.0,3,tor
6,ari,201500587.0,1,mia
3,chn,201500588.0,2,sdn
1,cin,201500589.0,7,kca
4,cle,201500590.0,3,cha
0,lan,201500591.0,4,sfn
2,mil,201500592.0,5,det
4,min,201500593.0,3,pit
2,nya,201500594.0,3,was
1,oak,201500595.0,6,hou
4,phi,201500596.0,2,col
4,sea,201500597.0,2,bal
9,sln,201500598.0,0,nyn
1,tba,201500599.0,2,atl
2,tex,201500600.0,1,bos
4,ana,201500601.0,8,tor
7,ari,201500602.0,6,mia
3,chn,201500603.0,0,sdn
5,cle,201500604.0,2,cha
5,hou,201500605.0,6,det
0,lan,201500606.0,4,sfn
1,mil,201500607.0,10,atl
0,oak,201500608.0,3,tba
3,phi,201500609.0,7,col
4,sea,201500610.0,5,bal
0,sln,201500611.0,5,nyn
3,tex,201500612.0,1,bos
12,ana,201500613.0,5,bos
8,bal,201500614.0,5,mia
4,chn,201500615.0,5,ari
3,cin,201500616.0,7,cle
2,hou,201500617.0,6,det
11,mil,201500618.0,0,atl
2,min,201500619.0,3,cha
1,nyn,201500620.0,4,pit
2,oak,201500621.0,5,tba
1,phi,201500622.0,2,was
1,sdn,201500623.0,2,lan
4,sea,201500624.0,3,tor
11,sfn,201500625.0,8,col
0,sln,201500626.0,5,kca
10,tex,201500627.0,9,nya
3,ana,201500628.0,8,bos
0,bal,201500629.0,1,mia
9,chn,201500630.0,6,ari
1,cin,201500631.0,2,cle
3,hou,201500632.0,2,det
2,mil,201500633.0,3,atl
4,min,201500634.0,3,cha
2,nyn,201500635.0,8,pit
5,oak,201500636.0,0,tba
8,phi,201500637.0,1,was
0,sdn,201500638.0,2,lan
3,sea,201500639.0,2,tor
10,sfn,201500640.0,8,col
3,sfn,201500641.0,5,col
2,sln,201500642.0,3,kca
15,tex,201500643.0,4,nya
1,ana,201500644.0,6,bos
2,bal,201500645.0,5,mia
3,chn,201500646.0,4,ari
2,cin,201500647.0,5,cle
10,hou,201500648.0,8,det
1,mil,201500649.0,2,atl
8,min,201500650.0,1,cha
1,nyn,201500651.0,9,pit
7,oak,201500652.0,2,tba
1,phi,201500653.0,4,was
11,sdn,201500654.0,3,lan
2,sea,201500655.0,8,tor
2,sfn,201500656.0,11,col
6,sln,201500657.0,1,kca
5,tex,201500658.0,2,nya
2,ari,201500659.0,3,sln
3,atl,201500660.0,6,lan
2,bos,201500661.0,7,min
0,cha,201500662.0,6,tor
5,col,201500663.0,4,cin
0,det,201500664.0,4,oak
3,hou,201500665.0,4,bal
1,kca,201500666.0,14,nya
2,mia,201500667.0,4,pit
3,phi,201500668.0,6,nyn
3,sdn,201500669.0,4,ana
4,sea,201500670.0,1,tba
8,sfn,201500671.0,4,mil
10,tex,201500672.0,8,cle
2,was,201500673.0,1,chn
4,ari,201500674.0,6,sln
0,atl,201500675.0,8,lan
1,bos,201500676.0,2,min
9,cha,201500677.0,10,tor
1,col,201500678.0,2,cin
1,det,201500679.0,0,oak
4,hou,201500680.0,1,bal
1,kca,201500681.0,5,nya
1,mia,201500682.0,5,pit
4,phi,201500683.0,5,nyn
4,sdn,201500684.0,0,ana
7,sea,201500685.0,6,tba
6,sfn,201500686.0,3,mil
4,tex,201500687.0,3,cle
2,was,201500688.0,3,chn
3,ari,201500689.0,4,sln
3,atl,201500690.0,2,lan
4,bos,201500691.0,6,min
5,cha,201500692.0,3,tor
6,col,201500693.0,4,cin
3,det,201500694.0,2,oak
4,hou,201500695.0,5,bal
2,kca,201500696.0,4,nya
2,mia,201500697.0,5,pit
0,phi,201500698.0,7,nyn
5,sdn,201500699.0,4,ana
3,sea,201500700.0,0,tba
3,sfn,201500701.0,1,mil
3,tex,201500702.0,12,cle
3,was,201500703.0,0,chn
0,atl,201500704.0,7,sfn
5,bos,201500705.0,1,tex
3,cha,201500706.0,2,bal
3,cha,201500707.0,6,bal
5,cle,201500708.0,3,sea
2,det,201500709.0,12,ana
4,nya,201500710.0,5,oak
11,pit,201500711.0,5,sdn
7,ari,201500712.0,5,mil
2,atl,201500713.0,4,sfn
4,bos,201500714.0,7,tex
6,cha,201500715.0,3,hou
1,cle,201500716.0,2,sea
4,col,201500717.0,1,phi
0,det,201500718.0,2,ana
8,kca,201500719.0,4,chn
0,lan,201500720.0,3,sln
4,mia,201500721.0,3,nyn
2,nya,201500722.0,6,oak
2,pit,201500723.0,6,sdn
1,tba,201500724.0,2,bal
6,tor,201500725.0,4,min
2,was,201500726.0,5,cin
7,ari,201500727.0,3,mil
8,atl,201500728.0,0,sfn
0,bos,201500729.0,8,tex
0,cha,201500730.0,3,hou
4,cle,201500731.0,3,sea
5,col,201500732.0,2,phi
6,det,201500733.0,8,ana
5,lan,201500734.0,1,sln
9,mia,201500735.0,5,nyn
5,nya,201500736.0,3,oak
5,pit,201500737.0,2,sdn
3,tba,201500738.0,0,bal
2,tor,201500739.0,3,min
5,was,201500740.0,8,cin
6,ari,201500741.0,7,mil
7,atl,201500742.0,5,sfn
3,bos,201500743.0,4,tex
6,cha,201500744.0,0,hou
6,cle,201500745.0,3,sea
4,col,201500746.0,1,phi
2,det,201500747.0,4,ana
1,kca,201500748.0,2,chn
1,lan,201500749.0,3,sln
3,mia,201500750.0,4,nyn
0,nya,201500751.0,3,oak
1,pit,201500752.0,7,sdn
9,tba,201500753.0,5,bal
5,tor,201500754.0,6,min
2,was,201500755.0,8,cin
8,atl,201500756.0,1,ari
2,bal,201500757.0,5,hou
5,chn,201500758.0,1,mia
11,lan,201500759.0,4,col
1,mil,201500760.0,0,sln
7,nya,201500761.0,2,sea
7,nyn,201500762.0,0,sdn
4,pit,201500763.0,3,sfn
3,tba,201500764.0,7,ana
6,atl,201500765.0,7,ari
4,bal,201500766.0,6,hou
2,cha,201500767.0,15,tex
2,chn,201500768.0,5,mia
4,cin,201500769.0,5,phi
2,cle,201500770.0,1,kca
3,lan,201500771.0,6,col
9,lan,201500772.0,8,col
0,mil,201500773.0,1,sln
0,min,201500774.0,1,bos
5,nya,201500775.0,3,sea
2,nyn,201500776.0,7,sdn
5,oak,201500777.0,3,det
7,pit,201500778.0,4,sfn
6,tba,201500779.0,1,ana
0,tor,201500780.0,2,was
7,tor,201500781.0,3,was
8,atl,201500782.0,9,ari
1,bal,201500783.0,3,hou
9,cha,201500784.0,2,tex
3,chn,201500785.0,7,mia
4,cin,201500786.0,5,phi
2,cle,201500787.0,4,kca
6,lan,201500788.0,7,col
4,mil,201500789.0,7,sln
3,min,201500790.0,6,bos
2,min,201500791.0,0,bos
3,nya,201500792.0,1,sea
3,nyn,201500793.0,7,sdn
6,oak,201500794.0,1,det
5,pit,201500795.0,2,sfn
6,tba,201500796.0,5,ana
8,tor,201500797.0,0,was
3,bal,201500798.0,2,hou
1,cha,201500799.0,2,tex
2,chn,201500800.0,1,was
6,cin,201500801.0,4,phi
6,cle,201500802.0,2,kca
8,min,201500803.0,4,bos
6,nyn,201500804.0,2,ari
7,oak,201500805.0,5,det
7,sln,201500806.0,1,lan
2,tba,201500807.0,1,sea
7,ana,201500808.0,8,nya
5,bal,201500809.0,2,cle
5,chn,201500810.0,7,was
3,det,201500811.0,4,cha
2,hou,201500812.0,6,tor
6,mia,201500813.0,2,col
10,mil,201500814.0,5,min
2,nyn,201500815.0,7,ari
2,oak,201500816.0,4,bos
10,pit,201500817.0,8,atl
6,sdn,201500818.0,2,cin
5,sfn,201500819.0,4,phi
2,sln,201500820.0,1,lan
1,tba,201500821.0,0,sea
4,tex,201500822.0,0,kca
2,ana,201500823.0,8,nya
1,bal,201500824.0,2,cle
4,chn,201500825.0,2,was
7,det,201500826.0,1,cha
2,hou,201500827.0,7,tor
5,mia,201500828.0,10,col
4,mil,201500829.0,2,min
1,nyn,201500830.0,2,ari
2,oak,201500831.0,4,bos
4,pit,201500832.0,5,atl
9,sdn,201500833.0,7,cin
7,sfn,201500834.0,5,phi
0,sln,201500835.0,2,lan
1,tba,201500836.0,2,sea
4,tex,201500837.0,2,kca
2,ana,201500838.0,6,nya
7,bal,201500839.0,3,cle
6,chn,201500840.0,3,was
6,det,201500841.0,4,cha
6,hou,201500842.0,7,tor
3,mia,201500843.0,2,col
0,mil,201500844.0,2,min
6,nyn,201500845.0,3,ari
4,oak,201500846.0,7,bos
3,pit,201500847.0,0,atl
0,sdn,201500848.0,4,cin
4,sfn,201500849.0,6,phi
4,sln,201500850.0,2,lan
3,tba,201500851.0,1,sea
3,tex,201500852.0,4,kca
3,ari,201500853.0,9,lan
1,hou,201500854.0,3,cha
3,kca,201500855.0,1,min
3,mia,201500856.0,11,tor
2,mil,201500857.0,0,pit
4,phi,201500858.0,6,cin
5,sdn,201500859.0,3,atl
3,sln,201500860.0,11,col
8,ana,201500861.0,2,tba
1,ari,201500862.0,3,lan
0,bos,201500863.0,1,bal
0,chn,201500864.0,6,det
2,hou,201500865.0,4,cha
2,kca,201500866.0,0,min
3,mia,201500867.0,4,tor
4,mil,201500868.0,1,pit
2,phi,201500869.0,11,cin
5,sdn,201500870.0,6,atl
3,sea,201500871.0,2,cle
5,sfn,201500872.0,0,nyn
3,sln,201500873.0,4,col
